124958855,5155,4889,1707134,['18982335'],United Kingdom
124958856,5733,6122,,['25811686'],United Kingdom
124958857,2439,5098,,['21888602'],United States
124958858,2439,5098,,['22972332'],United States
124958859,4846,4441,1728457,['20650187'],Germany
124958860,2439,5098,,['22951497'],United States
124958861,5059,4751,1586162,['19758019'],United States
124958862,5532,5327,806253,['23037638'],United States
124958863,3063,3692,695707,['26376124'],Germany
124958864,593,338,,['26100293'],Canada
124958865,5155,4889,1707134,['25008611'],United Kingdom
124958866,2439,5098,,['22972212'],United States
124958867,593,338,,['26134408'],United States
124958868,5074,5062,1685510,['14883954'],Australia
124958869,5059,4751,1586162,['19750810'],United States
124958870,5155,4889,1707134,['24904876'],United Kingdom
124958871,5074,5062,1180329,['15089097'],United Kingdom
124958872,245,121,,['655289'],Switzerland
124958873,4846,4441,1728457,['20622419'],Germany
124958874,2439,5098,,['21906604'],United States
124958876,2439,5098,,['21896058'],United States
124958875,1558,7642,1821726,['25968107'],United States
124958877,3063,3692,695707,['26376106'],Germany
124958878,5059,4751,1586162,['19763490'],United States
124958879,593,338,,['26099343'],United States
124958880,593,338,,['26104934'],United States
124958882,5059,4751,1586162,['19741295'],United States
124958881,3063,3692,695707,['26376090'],Germany
124958883,2439,5098,,['22970279'],United States
124958884,4846,4441,1728457,['20616408'],Germany
124958885,2439,5098,,['21910672'],United States
124958886,6842,6987,1732599,['26379102'],China
124958887,3063,3692,695707,['26376205'],Germany
124958888,5074,5062,1180329,['14908995'],United Kingdom
124958889,2439,5098,,['21912863'],United States
124958890,593,338,,['26115261'],United States
124958891,593,338,,['26129617'],United States
124958892,3063,3692,695707,['26375435'],Germany
124958893,6842,6987,1732599,['26378743'],China
124958894,825,5094,1659132,['25868540'],United States
124958895,2439,5098,1782243,['21900609'],United States
124958896,5074,5062,1685510,['16330590'],Australia
124958897,4107,7773,1682891,['26369457'],United Kingdom
124958898,2439,5098,,['21910745'],United States
124958899,3063,3692,695707,['26375885'],Germany
124958900,593,338,,['26110854'],United States
124958901,5733,6122,1822889,['25810904'],Germany
124958902,592,337,1818906,['3607869'],
124958903,5438,6206,1821074,['26143941'],Netherlands
124958904,593,338,,['26136925'],Canada
124958905,5074,5062,1180329,['16267383'],United Kingdom
124958906,4846,4441,1728457,['20640616'],Germany
124958907,4107,7773,1682891,['26369876'],United Kingdom
124958908,2439,5098,,['22969895'],United States
124958909,4107,7773,1682891,['26365118'],United Kingdom
124958910,376,205,,['1280394'],United Kingdom
124958911,3063,3692,695707,['26375564'],Germany
124958912,593,338,,['26100802'],United States
124958913,5059,4751,1586162,['19774472'],United States
124958914,825,5094,1659132,['25869677'],United States
124958915,2439,5098,,['23001865'],United States
124958916,4107,7773,1682891,['26371261'],United Kingdom
124958917,4846,4441,1728457,['20641661'],Germany
124958918,5733,6122,,['25811432'],United Kingdom
124958919,593,338,,['26127799'],Canada
124958921,4107,7773,1682891,['26365530'],United Kingdom
124958920,5074,5062,1685510,['16064664'],Australia
124958922,5818,6345,1656557,['26141635'],United States
124958923,4107,7773,1682891,['26365622'],United Kingdom
124958924,376,205,,['1278993'],United Kingdom
124958925,5059,4751,1586162,['19754865'],United States
124958926,825,5094,1659132,['25854093'],United States
124958927,2439,5098,1806106,['22944168'],United States
124958928,593,338,,['26114024'],United States
124958930,4107,7773,1682891,['26364474'],United Kingdom
124958929,3414,6177,1501502,['19410252'],United Kingdom
124958931,4846,4441,1728457,['20471559'],Germany
124958932,5059,4751,1586162,['19736301'],United States
124958933,6842,6987,1732599,['26379451'],China
124958934,5818,6345,1656557,['26254450'],United States
124958935,4107,7773,1682891,['26369382'],United Kingdom
124958936,2439,5098,,['21906475'],United States
124958937,593,338,,['26106548'],United States
124958938,2439,5098,,['21889365'],United States
124958939,593,338,,['26129754'],Canada
124958942,3063,3692,695707,['26375822'],Germany
124958940,2439,5098,,['21891491'],United States
124958941,4107,7773,1682891,['26370637'],United Kingdom
124958943,5059,4751,1586162,['19829815'],United States
124958944,2439,5098,,['21891086'],United States
124958945,2439,5098,,['21910963'],United States
124958946,5059,4751,1809166,['19819723'],Chile
124958947,4107,7773,1682891,['26370840'],United Kingdom
124958948,593,338,,['26095964'],United States
124958949,5059,4751,1586162,['19738719'],United States
124958950,3063,3692,695707,['26376136'],Germany
124958951,376,205,,['1280276'],United Kingdom
124958952,593,338,,['26112179'],United States
124958953,5438,6206,1821074,['23454367'],Netherlands
124958954,4107,7773,1682891,['26371669'],United Kingdom
124958955,4846,4441,1728457,['20652161'],Germany
124958956,593,338,,['26115190'],United States
124958957,2439,5098,,['21904346'],United States
124958958,5059,4751,1586162,['19754179'],United States
124958959,5059,4751,1809166,['19736169'],Chile
124958960,2439,5098,,['23006534'],United States
124958961,4107,7773,1682891,['26367504'],United Kingdom
124958962,5059,4751,1586162,['19749540'],United States
124958963,5438,6206,1793222,['24906244'],Netherlands
124958964,593,338,,['26124647'],United States
124958965,4107,7773,1682891,['26369128'],United Kingdom
124958968,4846,4441,1728457,['20469130'],Germany
124958966,5059,4751,1586162,['19740721'],United States
124958969,3063,3692,695707,['26375291'],Germany
124958967,5074,5062,1685510,['16344332'],Australia
124958970,593,338,,['26104852'],United States
124958971,5059,4751,1809166,['19750848'],Chile